,I1,I2
05/18/2015,22.154281757122146,21.66869186061088
05/19/2015,21.35596316103777,20.85095110627118
05/20/2015,20.90665149052666,20.424795986439804
05/21/2015,20.886265806061235,20.657890305247378
05/22/2015,20.913525275900877,20.669510802267602
05/25/2015,22.155594751555967,21.250545827647922
05/26/2015,24.23009178813005,22.69904549528609
05/27/2015,22.70892284907677,21.36019026547755
05/28/2015,23.98617502750492,22.349878891101678
05/29/2015,25.817070234439484,23.576618377708698
06/01/2015,24.091586830430536,23.21137713751411
06/02/2015,24.681416941943912,23.131764554466077
06/03/2015,24.257710719360862,22.77361744132473
06/04/2015,24.61186849592071,23.002847375056447
06/05/2015,25.45762340353164,23.52676096592021
06/08/2015,26.24445366421575,24.25197471713985
06/09/2015,25.68575006789657,23.8642505396608
06/10/2015,24.60985948105987,22.91247821789556
06/11/2015,24.35836248034305,22.617647337956505
06/12/2015,26.007141897294666,24.042542751056946
